Sample	Year
I-BD0024	1989
I-BR0026	1987
I-CD0073	1981
I-CD0203	2003
I-CH0052	1991
I-CH0063	1985
I-CH0092	1983
I-CH0328	1998
I-CH0549	1995
I-CH0595	1997
I-CH0680	2001
I-CH0689	2001
I-CH0701	2001
I-CH0860	2006
I-CL0026	1989
I-CL3-6-7	2000
I-HN0001	1993
I-IN0072	1992
I-IN0082	1992
I-IN0094	1993
I-JP0010	1986
I-MC0016	1997
I-MD0929	2005
I-ML0025	1986
I-NP0037	2009
I-NP0041	2009
I-NP0052	2008
I-NP0061	2008
I-PH0103	1996
I-PH0118	1996
I-PR0009	1991
I-SP0005	1994
I-US0031	1967
I-US0098	1992
Z-13FM-3-2	2013
Z-13FM-9-1	2013
Z-AV1-1-1	2015
Z-BJ-90-611	1995
Z-BJ08-8-1	1985
Z-DB11-621	2011
Z-FJ0204804	2002
Z-FJ11SH-527-1	2011
Z-FJ11YD-673-1	2011
Z-FJ12JN-084-3	2012
Z-FJ13SH05-2	2013
Z-FJ2000-62A	2000
Z-FJ2000-69A	2000
Z-FJ2001-112B	2001
Z-FJ2003-001A1	2003
Z-FJ2005113B	2005
Z-FJ2006-60A3	2006
Z-FJ43ZB15-68	1992
Z-FJ72ZC7-77	1992
Z-FJ78-JJ	1978
Z-FJ81-JY	1981
Z-FJ81-MH	1981
Z-FJ81-SW	1981
Z-FJ81-ZP	1981
Z-FJ81221ZB11-14	1981
Z-FJ86-CT	1986
Z-FJ86061ZE3-39	1986
Z-FJ95054B	1995
Z-FJ95085AZB13-116	1995
Z-FJ98099	1998
Z-FJ99138	1999
Z-FJSH0703	2007
Z-GD-05-029b	2005
Z-GD06-53	2006
Z-GD08-2025	2008
Z-HB-14	2009
Z-HN-0812-3	2008
Z-HN-158	2009
Z-HN10-1604	2010
Z-JS-10-6-1-2	2010
Z-JS08-611	2008
Z-JS09-138	2009
Z-JX-09Z116-1	2009
Z-JX10-102	2010
Z-JX11-141	2011
Z-KA1-3-1	2015
Z-SC-10-120-65-2	2010
Z-SC-10-25-44-1	2010
Z-Sar-2-20-1	2013
Z-TW-1-1-1-B-1	2005
Z-TW-12CY-TB1-2	2012
Z-TW-12HL-DF1-2	2012
Z-TW-12HL-YL2-1	2012
Z-TW-12TD-RH1-1	2012
Z-TW-12TN-HB2-2	2012
Z-TW-12YL-DL3-2	2012
Z-TW-12YL-DP1-1	2012
Z-TW-12YL-TT4-1	2012
Z-TW-2-7-2-A-1	2005
Z-TW-6-2-2-B-1	2005
Z-TW-6-43-1	2005
Z-TW-CYBP1-3	2011
Z-TW-PT1-1	2011
Z-TW-PT3-1	2011
Z-TW-PT6-1	2011
Z-TW-TN4-2	2011
Z-WD-3-1	2015
Z-YN07205e	2007
Z-YN072310	2007
Z-YN072311	2007
Z-YN126311	2012
Z-YN126441	2012
Z-ZJ00-10	2000
Z-ZJ08-41	2008
Z-ZJ2011-7-1	2011
AG002	2010
AG006	2011
AG032	2011
AG038	2011
AG039	2011
AG059	2011
AG098	2011
PR003	2003
San	2001                
